canción id,nombre,artistas,duración (segundos),popularidad,explícito,fecha de lanzamiento,url de spotify,imagen,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,clave (key),modo (mode),predicted_genre,Cluster
19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,251.424,84,0,2024-08-19,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,0.74,0.643,0.96,117.025,0.041,0.00229,0.0413,10,1,latin,0
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,171.291,85,1,2024-05-31,https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,0.722,0.706,0.599,80.969,0.072,0.0,0.0292,9,1,hip hop,2
5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,"Tyler, The Creator",165.412,86,1,2024-10-28,https://open.spotify.com/track/5RePVWy39tLpHH0WwXgBsK,https://i.scdn.co/image/ab67616d0000b273232374a6a869e62826f3f1f7,0.661,0.878,0.514,82.557,0.00289,0.0,0.31,1,1,rock,2
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,159.245,89,0,2022-09-16,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,https://i.scdn.co/image/ab67616d0000b273fddfffec51b4580acae727c1,0.689,0.454,0.912,159.982,0.0351,0.00259,0.0584,2,1,pop,0
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",224.022,89,1,2024-09-20,https://open.spotify.com/track/0Sr7ssScx54yxdM2ols7nW,https://i.scdn.co/image/ab67616d0000b273996764071dbd5240eefb2422,0.56,0.681,0.388,155.079,0.103,0.0,0.244,6,0,electronic,1
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",191.7,89,1,2023-07-28,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,0.569,0.882,0.201,148.038,0.0316,0.0,0.06,3,0,electronic,1
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",130.88,80,1,2024-10-17,https://open.spotify.com/track/0qeIFEGRQqHoaJtLCl0U73,https://i.scdn.co/image/ab67616d0000b273211e6d4c3a41019e9309686d,0.744,0.709,0.712,194.055,0.0501,0.0,0.284,6,0,rock,3
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,The Kid LAROI,86.983,88,0,2023-11-10,https://open.spotify.com/track/1XBYiRV30ykHw5f4wm6qEn,https://i.scdn.co/image/ab67616d0000b2732abb30c6296964d5d07458c2,0.482,0.757,0.12,142.579,0.0137,0.0016,0.0355,6,1,rock,0
2uXlHCUbq9OMUwx3hrk06o,Riptide,Vance Joy,204.28,85,0,2014-08-05,https://open.spotify.com/track/2uXlHCUbq9OMUwx3hrk06o,https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7,0.483,0.731,0.484,101.654,0.436,0.0,0.0381,1,1,jazz,0
6s1kzj4EbhFLXbuAGJbhbn,Barbie,"MC Tuto, DJ Glenner",192.755,83,0,2024-10-18,https://open.spotify.com/track/6s1kzj4EbhFLXbuAGJbhbn,https://i.scdn.co/image/ab67616d0000b273f412f43fad4c3ffab163287c,0.955,0.425,0.716,127.032,0.711,0.0,0.43,3,0,latin,3
4OLT65TRsOx3Iv1TlCcQVb,Presidente,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",181.064,82,1,2024-10-21,https://open.spotify.com/track/4OLT65TRsOx3Iv1TlCcQVb,https://i.scdn.co/image/ab67616d0000b273f66501800b3a51af3bc69f8d,0.732,0.827,0.584,105.145,0.123,0.0,0.0585,11,1,hip hop,2
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,228.639,86,0,2024-03-08,https://open.spotify.com/track/51ZQ1vr10ffzbwIjDCwqm4,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4,0.645,0.646,0.295,115.842,0.0615,3.04e-05,0.0427,5,1,rock,0
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,Artemas,142.514,82,0,2024-07-11,https://open.spotify.com/track/3JG1uFc40wfyrqaWC7iv0e,https://i.scdn.co/image/ab67616d0000b2738fe69d8df304ff053693653e,0.599,0.946,0.747,151.647,0.000938,0.0106,0.0447,11,1,electronic,0
2osJCvi2zzebMQTc7vvcAm,Just the Way You Are,Bruno Mars,220.734,53,0,2019-11-22,https://open.spotify.com/track/2osJCvi2zzebMQTc7vvcAm,https://i.scdn.co/image/ab67616d0000b273ecf19961b119e4ff4c1270d3,0.635,0.841,0.424,109.021,0.0134,0.0,0.0422,5,1,electronic,0
